source_language,target_language,source_text,target_text
Dholuo,Swahili,Aneno jatend piny kawuono ma amor,Niliona rais leo hadi nikafurahi 
Dholuo,Swahili,"Joma ne olal ne oyudo duoko, nyaka dongruok nyaka bed koda arita maber. ",Watu walipotea walipata jibu hili; Lazima miradi hii iwe na ulinzi madhubuti. 
Dholuo,Swahili,Onego opuonj wuone kaka ginyalo konyo nyithindgi ma rowere mondo oriw lwedo chenro mag loso mwandu.,Akina baba wanatakiwa kuelimishwa jinsi ya kuwasaidia vijana kushiriki katika shughuli za uzalishaji mali.
Dholuo,Swahili,6. Konyo e weche somo go arita. ,6.  Kusadia katika elimu na usalama
Dholuo,Swahili,Manangi ema kayi,Kikulacho ki nguoni mwako
Dholuo,Swahili,Jopuonje onganyo,Walimu wamegoma 
Dholuo,Swahili,Kwar wa odhi nindo,Babu yangu ameenda kulala
Dholuo,Swahili,Pilepile wachiewo koda kech to dwaro bende odhuro. ,Kila uchao tunaamkia njaa na mahitaji ni kochokocho. 
Dholuo,Swahili,"Pinyno biro bedo gi dongruok maber, kendo ji biro dak maber gi puothegi.",Uchumi wa nchi utaimarika na watu kujitegemea na vibanja vyao.
Dholuo,Swahili,okinde mag migosi sonko osebedo kakwedo kit kaka jangad buche daglas ogoti osebedo kawinjo buche mibadhi mamiene gino mane omiyo ginganyo magi wuok edoho.,Mawakili wa Sonko wanasema kuwa mawakili wa Sonko walilalamikia jinsi jaji Ogoti alivyokuwa akiamua kesi za Sonko jambo lililowafanya kutoka nje kesi ikiendelea
Dholuo,Swahili,Seche ma gi nur no to yot mondo masira otimre.,Wanaposinzia kunaasilimia kubwa kuwa ajali hutokea.
Dholuo,Swahili,C. mar Wawinjo ka dhok chwoyore.,C. Meno yetu yanauma.       
Dholuo,Swahili,Ok ahero somo tok chiemo godiochieng,Sipendi kusoma baada ya kula chamcha 
Dholuo,Swahili,Jogo ma indiko ewigi;  sigana machuok onge jii mathoth miwuyo ewigi. ,WahusikaHadithi fupi haiwi na wahusika wengi. 
Dholuo,Swahili,Tiende rame ema omiyo osuto kowuotho,Anaumwa na mguu ndio kwa sababu anachechemea akitembea
Dholuo,Swahili,"Kaluwore gi kit ngima ogandagi, ne en ruoth.","Kwa mujibu wa tamaduni za kwao, bila shaka angekuwa chifu wa jamii hiyo."
Dholuo,Swahili,Ok onego timre. ,Haifai jamani!  
Dholuo,Swahili,Nyathini leko.,Huyu mtoto anaota.
Dholuo,Swahili,Asekawo san mar mabati,Nishachukua sahani ya mabati
Dholuo,Swahili,"Achiel kuom joma Sonko noyiero mondo okonye en Miguna Miguna, ma en jasiasa ma nigi ywaruok kendo ma ne oseriemb e pinyno.",Miongoni mwa watu ambao Sonko alikuwa amependekeza wawe naibu wake ni mwana siasa mtatanishi Miguna Miguna ambaye alifurushwa nchini. 
Dholuo,Swahili,Watimo nyasi kawuono.,Leo tuko na sherehe.
Dholuo,Swahili,Wadhi e okang’ machielo,Twende kiwango kingine
Dholuo,Swahili,chir ne omake ahinya Asisi. ,Kijasiri alimvutia sana Asisi. 
Dholuo,Swahili,"Loso shairi, mawang'o chuny, shairi maduong', Mondo jomatindo odongre, pile giyudo thuolo mabeyo","USHAIRI YANICHOMA MTIMAN kutunga nalo shairi,  yalonÃ­choma rohoni, Shari Kubwa naona,  ya vijana kuhiliki, kila huchao wachachama,  ya maisha kuachama, Tenga nao wakwenda,  hata kwayo maadili. "
Dholuo,Swahili,"Bende dwarore ni warit ler mar odwa, to moloyo, sama waloso kata watedo e jikon.",Tunapaswa pia kusafisha nyumba yetu  haswa tunapopikia mle jikoni.
Dholuo,Swahili,Ahero chamo ring'o,Napenda kula nyama 
Dholuo,Swahili,Tuom pi imiya amodhi,Chota maji unipee ninywe.
Dholuo,Swahili,"""Kinde, kama ibo timee, ndalo mobiro kawo, joma biro bedo e chokruogno, gi weche mibiro wuoyoe, gin gik mosechan motelo kapok chokruogno ochakore. ""","Wakati, mahali, urefu wake, washiriki wake na mada/jambo la kuzungumziwa huwa vimebainishwa kabla ya shughuli yenyewe."
Dholuo,Swahili,Magi ok yudre ,Hizi hazipatikani
Dholuo,Swahili,Puonjo nyako ber.,Kufunza musichana ni nzuri .
Dholuo,Swahili,mar  wach moro ma dwarore ni onon.,ya swala fulani linalohitajika kushughulikiwa. 
Dholuo,Swahili,Odni opong' gi yugi.,Matakataka hutapakaa kila mahali.
Dholuo,Swahili,In gi lony mane?,"Je, uko na ujuzi gani?"
Dholuo,Swahili,Ne awuotho mos nyaka dala.,Nilikanyaga popote kenyekenye hadi nyumbani.
Dholuo,Swahili,Adhi ng'iewo chiemo,Naenda kununua chakula
Dholuo,Swahili,Waduto ne wariwore. ,Sote tuliungana pamoja. 
Dholuo,Swahili,ogwang no mako gweno ,komba mwiko ameshika kuku
Dholuo,Swahili,Mogen jabare mogir ka loch,Siyo yote yanayosubiriwa hutimia
Dholuo,Swahili,"Wasallam ne oparo ni chieng' ma ne owuok e mudho, ne en tipo mar mudho mandiwa ma ne opong' gi mudho mandiwa.",Wasallam kuwa mithili na jua lililochomoza katika giza za giza totoro na kukunja jamvi na ujahilia.
Dholuo,Swahili,Inindo chon manade ,Unalala mapema sana 
Dholuo,Swahili,Gweth ne ngato ka ngato ,Baraka kwa kila mtu
Dholuo,Swahili,"Kuom medo ndhadhu e lowo, cham wuok mabeyo kendo pith timo maber.",Kwa kuongeza madini kwenye mchanga mimea huchipuka vizuri hivyo kilimo kinaimarika. 
Dholuo,Swahili,Adwaro wacho ni ji ber yeso.,Mungu ni mzuri sana kwetu
Dholuo,Swahili,"Jago moro maja igni 24 ochodo oko lwet owadgi kod ojalo gwenge mag kanyabande, kawuor location ei rachuonyo east sub-county.","Kuna jamaa mwenye umri wa miaka 24 amemkata mkono nduguye kwa panga katika maeneo ya kanyabande, kawuor location,rachuonyo mashariki."
Dholuo,Swahili,Oduma kelo mogo.,Unga hutoka kwa mahindi
Dholuo,Swahili,E yo machiek:  Jo kibera duto ne odhi goyo ombulu. ,Ufupisho:  wakazi wa Kibera walienda kupiga kura. 
Dholuo,Swahili,"Mokwongo, en gima ber wang'o yugi mondo kik giketh alworawa.","Kwanza kabisa, tunafaa kuchoma taka taka ili isitapakae katika mazingira yetu."
Dholuo,Swahili,Adak Nairobi gi nyithinda,Naishi Nairobi na watoto wangu
Dholuo,Swahili,"Kora sani en gi higni piero ochiko, yier wiye oserumo kendo modong' gin rachar dhiir. ","Sasa umri wa miaka sitini,  nywele zimemwishia kichwani na zilizobakia tuwa nyeupe pepepe. "
Dholuo,Swahili,"waseriambo, wenwa. ",Tumedanganya tusamehe. 
Dholuo,Swahili,Mibadhi  en achiel kuom chandruoge ma thoth pinje mag Afrika yudo.,Ufisadi ni denda suku ambalo nchi nyingi za bara la Afrika zimeathinka nallo.
Dholuo,Swahili,"Gik ma kamago monogi yudo thuolo mar puonjruok, kendo mano nyalo miyo kik ginyagre maber gi penj.",Mambo kama haya yanamnyima mwanafunzi haki yake ya kusoma na bila shaka atakuwa na matokeo duni katika mitihani yake.
Dholuo,Swahili,Adwa dhii e liel,Nataka kuenda matanga 
Dholuo,Swahili,Kiketo A kaka namba ma konyo jowuoth ng'eyo kama onego gidhiye. Kompas mar B. C. wang' chieng' D. asere mar 26.,Chombo kinachotumiwa na wasafiri kuwasaidia kujua wanakoelekea ni  	A. Dira                            B. Jua                    C. kipima mbele             D. mshale 26.
Dholuo,Swahili,"Thothgi ok ne ber mar tije lwedo, to kar mano, ok gikawo tijego mapek kaka mag somo mamalo nikech giwacho ni oonge chudo mamalo.",Wengi wao hawaoni ubora wa kazi za kiufundi bali kuzipuuza na kuona hazina kipato cha juu kama kiakademia.
Dholuo,Swahili,Ibiro goyo toki piny matek.,Utagonga kisogo chako chini vibaya sana.
Dholuo,Swahili,Ageta mar osuru pek,Malipo ya usuru ni nzito
Dholuo,Swahili,thum ko guro to adong gi jo miel kende,Mziki imenoga sasa ni wachezaji tu wamebaki.
Dholuo,Swahili,"Koth maduong' nochwe kendo ohula noketho piny, le mang'eny kendo dhano nobuok kuom neno japurcha kaloro puothe kendo. ",mvua kubwa ikanyesha na kusababisha gharika nyama wengi pamoja na watu walishangaa kuona mkulima akifanya kazi zake kwa mara ya pili tena. 
Dholuo,Swahili,Wuongi ohere kabisa,Babake anampenda sana.
Dholuo,Swahili,"Kuom adier, ne en odiechieng ' ma ne berna ahinya e ngimana.",Ama kweli ilikuwa siku ya kufana sana maishani mwangu.  
Dholuo,Swahili,Ji mia abich oruak eute thieth mopogore e pinyno bang masira makamano eboma ma bata.,Watu mia tano wamelazwa hospitalini katika nchi hiyo baada ya ajali hiyo katika eneo la Bata
Dholuo,Swahili,"Newaparo odichienge mag mor, mane Wavuzi gi Walahaula ne odak ka opogore. ","Tukapiga darubini na kutanabahi siku zile za furaha na fahari,  ambapo Wavuzi na Walahaula,  waliishi kwa utangamano. "
Dholuo,Swahili,Joma tuwo ok nyal tiyo kendo mano medo mana dhier e piny.,Watu wakiwa wagonjwa hawawezi kufanya kazi na hii huleta uongezekaji wa ufukara.
Dholuo,Swahili,Mudho olil msnade.,Kuna giza totoro
Dholuo,Swahili,Puodho nyaka yor koka kom.,shamba hulimwa mara mbili kisha tupande
Dholuo,Swahili,Lela wenge gi nenyiso mor mane gin godo.,Nyuso za maarusi zilidhihirisha raha waliyokuwa nayo.
Dholuo,Swahili,"Mopogore gi kuonde ma osetimie lokruok, nitie skunde koda kuonde thieth ma igero e gwenge kaka Lamu kod Marsabit.",Mbali na baraste kukarabatiwa shule na zahanati hujengwa katika kaunti mbalimbali kama vile Lamu na Marsabit.
Dholuo,Swahili,Ondamono okaw bang yangore ni atamalo 34 mag mine wito ngimagi epachoka kaluwore giremo machuer mangeny kinde magikonyore.,Hatua hiyo imechukuliwa baada ya asilimia 34 ya wanawake wanapoteza uhai nchini kutokana na damu nyingi wanazopoteza wakati wa kujifungua.
Dholuo,Swahili,Jo klas apar kod ariyo chako ayanga penj kiny.,Wanafunzi wa kidato cha nne wataanza mitihani yao rasmi kesho.
Dholuo,Swahili,Kata kamano oyugi yande ne oduog owe oko kaluwore ni yande ofwenyore ni ok ne ondikore kaka jakanyo hie mar eduond burano,Oyugi hata hivyo aliwachwa  nje  walipogundua  kuwa  hakujiandikisha  kama   mwenyeji  halali  wa  hapo  wa  chama  hicho.
Dholuo,Swahili,piny drc ema oywa goro enonro kaka piny maonge kod democrasia moloyo ewi kaka gitimo yiero magi11,Taifa la Demokrasia ya Kongo ndiyo ilivuta mkia katika utafiti huo kulingana na jinsi walivyoendesha uchaguzi wao
Dholuo,Swahili,Mandela ema ne obedo ng'at ma ne otwe kuom higini mang'eny moloyo ng'ato ang'ata ma ne otwe nikech weche siasa.,Mandela alivunja rekodi kwa kuwa mfungwa wa kisiasa aliyehudumu kwa muda mrefu sana.
Dholuo,Swahili,"E wi japuonjreno, moko kuom jogo ma ne nigi luoro ni ne ok gidhi bedo e klas mokwongo ne en Caroline Mkamburi moa Migori County, ma ne oyudo alama 363, Becky Anyango (303, Migori), Margaret Miteka (378, Nakuru), Teddy Joshua (301, Uasin Gishu), Mata Kaja (351, mamoko).","Mbali na mwanafunzi huyo, baadhi ya wale wameeleza hofu ya kukosa kujiunga na Kidato cha kwanza ni Caroline Mkamburi kutoka Kaunti ya Migori, aliyezoa  alama 363, Becky Anyango (303, Migori),  Margaret Miteka (378, Nakuru), TeddyJoshua (301, Uasin Gishu), Mata Kaja (351,  wengine. "
Dholuo,Swahili,"Liwazo, min ode nyaka Kipokeo nobiro limo Kijasiri. ","Liwazo na mkewe,  pamoja na Kipokeo walikuja kumzuru Kijasiri. "
Dholuo,Swahili,Ne ok ochako onene kendo.,Asimwone tena.
Dholuo,Swahili,"E DWE mar abich e dwe mar Novemba, mach nowang'o skunde ariyo e gweng ' mar Tharaka Nithi, kendo mano ne okelo tungni mang'eny kendo e skul, sama jopuonjre ne chako klas mar adek.","SHULE mbili zilichomeka mnamo Alhamisi katika Kaunti ya Tharaka Nithi na kuzua taharuki ya kurejea kwa wimbi la visa vya moto shuleni, wanafunzi wanapoanza muhula wa tatu. "
Dholuo,Swahili,Jawar kiki kala maok iwinja kalani.,Mwokozi usinipite ninapo omba
Dholuo,Swahili,Bbis kamiti maochungne chike kod ratiro eod bura mamalo kod mar senate gi sani dhii nyime kod kao pach jopiny ewii lokruok mag moko kuom pend chike ma thurka.,Kamiti inayosimamia haki na sheria ya bunge kuu na seneti inaendelea kuchukua maoni ya wananchi kuhusiana na mageuzi ya sheria humu nchini
Dholuo,Swahili,En bedo gi chir  kata ng'eyo mar timo gimoro.,Ni uhodari au ufarisi wa kutenda jambo fulani.
Dholuo,Swahili,Nituo ka nyamgodho wuod ombare,Kauka kau kau
Dholuo,Swahili,Koth chwe mang'eny,Mvua inanyesha mingi
Dholuo,Swahili,Asisi nong'eyo maber kendo adiera ni ohinga kendo pingo ne dhi wuok kuom weche go. ,Asisi alijua wazi na bayana kuwa vikwazo na pingamizi aghalabu vingeinuka dhidi ya juhudi hizo zake. 
Dholuo,Swahili,"Kaluwore gi rach mar piny e yor omenda to gi midhiero ma ne osieko no, jopuonjre moko ok ong'e kamanitie.",Kutokana na uchumi mbaya na hasara iliyopatikana wanafunzi wengine hawajajulikana waliko.
Dholuo,Swahili,Nokwayo mondo oweye ondoji e skul owuo gi jatelo. ,Aliomba aruhusiwe kuingia ndani aonane na wakurugenzi. 
Dholuo,Swahili,Miyo ting'o ich kuom dweche ochiko,Mwanamke hubeba mimba kwa muda wa miezi tisa.
Dholuo,Swahili,Dhiang' modho pii,Ng'ombe inakunywa maji
Dholuo,Swahili,"Koloso kilif icounty, migosi sifa olero ni en ethuolo maber mar reso piny kenya.","Akizungumza katika kaunti ya Kilifi, mheshimiwa Ruto alisema kuwa yeye ndiye yuko katika nafasi nzuri ya kuiokoa taifa la Kenya."
Dholuo,Swahili,"Jomoko to luongore ni dereba, to gin mana dereba mar nying lilo.","ya madereva kwa sababu wengine, wanajiita madereva ila ni madereva jina tu."
Dholuo,Swahili,par matut kuom osiepni ma idwa ndikone,Fikiria  kwa  makini  na  tuo  kuhusu  Rafiki  yako  huyo  au  yeyote  yule  unayemwandikia  barua  hiyo.
Dholuo,Swahili,"Sirkal nyalo dwoko chien hinyruok mabedoe kuom keto ng'icho e okang ' mamalo, kendo keto kamoro amora ma mtokni kaloe mondo one ka mtoknigo oketho chik.",Serikali inaweza kupunguza ajali kwa kueka usimamizi wingi na kuwaeka kila kituo ili kuangalia magari yanayokiuka sheria hiyo.
Dholuo,Swahili,Koloso ecounty ma meru kama otieke limbe mare mar ndalo3 kawuono ruto omedo mana chayo mokalo jotelo maneio duond buche ma obalo kowacho ni ok gin jok ma inyalo bed godo kod geno,Akizungumza katika kaunti ya Meru alikofanya ziara ya siku tatu iliyoisha leo Ruto alisema kuwa viongozi wanaokwenda kinyume naye si wa kutegemewa. 
Dholuo,Swahili,"En ema oyao lweny, pogruok koda tiyo marach gi mwandu jopiny. ","Ndio chanzo cha vita,  ukabila,  utengano,  ufujaji na ufisadi. "
Dholuo,Swahili,ekinde onogo jaod bura ma lurambi titus khamala okwedo wachno komedo ni ok gini yie mondo otii kod oganda makono echopo kare dwach jomoko eweche siasa kaeto  bange ichwe ijwango gi ,Titus Khamala ambaye ni mbunge wa Lurambi alikashifu ripoyi hiyo akisema kuwa hawatakubali kutumika na viongozi kutimiza azma yao ya kisiasa kisha wanatelekezwa
Dholuo,Swahili,Bende  yedhe moko ma  itiyogo e thiedho tuwono.,Na vilevile dawa ya kutibu uwele huo.
Dholuo,Swahili,"Kendo jo ohala bende yudo yore mag tudruok gi jo ohala moko mondo ohla mar kenya obed gi yuto maber, kendo sirikal onego neni ohelni ma itimo e pachako gin mago ma opuodhi. ","Na pia wafanyibiashara kuwa na njia ya kuwasiliana na wafanyabiashara wenzao, ili kuifanya biashara Kenya kuwa yenye mapato mema,  Serikali inafaa kuhakikisha kuwa biashara zinazoendelea nchini zimekubaliwa wala zisiwe za haramu. "
Dholuo,Swahili,Ng'ama dwaro nyaka many. ,Mhitaji ni mtumwa. 
Dholuo,Swahili, Sigana machuok nyalo bedo gi weche mia abich kata eluf ariyo bi mia abich to seche mko kata elfu abich. ,Hadithi fupi huweza kuwa na maneno kuanzia 500 hadi 2500 na wakati mwingine 5000. 
Dholuo,Swahili,Mano ne otimore e kinde ma Amerka ne chiwo siem kuom wach rito kuwe.,Hayo yaliyojiri wakati ambapo Amerika ilitoa onyo kuhusu usalama
Dholuo,Swahili,An asesomo buge mangeny ,Mimi nimesoma vitabu vingi 
Dholuo,Swahili,Tinde iloro od thieth go tieno,Siku hizi hospitali hufungwa usiku 
Dholuo,Swahili,Oyango ni apisano ne odee mochwe othoo.,Ripoti hiyo inasema afisa huyo alinyongwa hadi kufa
Dholuo,Swahili,"Jonyuolne gi jirande ne mor ahinya, ka miyo ma okonyore maber.",Wavyele wake pamoja na yule tajiri walikuwa na furaha mpwitompwito kama mama waliojifungua salama salimini.
Dholuo,Swahili,Kijasiri noyueyo pi wang'e kendo ochiko ite ne dwol mane wuoyo kode. ,Kijasiri alipangusa machozi akasikilioza sauti iliyokuwa imemkazania. 
Dholuo,Swahili,Ibiro neneo kogengo gi kuom le madongo kaka dhok.,Utamwona akiwalinda kutoka kwa wanyama wakubwa kama ng'ombe.
Dholuo,Swahili,Yesu no yue pi wang'wa.,Yesu atafuta machozi.
Dholuo,Swahili,Gino dung,Hio kitu inanuka
Dholuo,Swahili,Agombo mana goyo abal ,Natamani tu kupiga mbizi 
Dholuo,Swahili,Ng'at moro ma ne wuok e oganda machielo ne ojarogi.,Mwanajamii mmoja alicheka kwa kauli yake.
Dholuo,Swahili,jonyuol nyithindo mane ocha rabolo makamano okwayo ni mondo nonro makende otim ewii wachno nimar dani no odhii nyiewo chiemo ne nyikwae.,Wazazi wa watoto hao wanaomba uchunguzi zaidi kufanywa kuhusiana na ndizi hiyo ambayo ajuza huyo alinunua
Dholuo,Swahili,TWAK EWI MIDHIERO MIKELO KODA MITHUSI MAR KORONA: Korona en tuo ma ikeolo koda midhusi mamako adundo.,MADHARA YANAYOSABABISHWA NA JANGA LA CORONA Corona ni ugonjwa ambao unasababishwa na virusi vinavyoathiri mapafu.
Dholuo,Swahili,Kokalo kuom kindagi duto.,Kupitia juhudi zote hizi. 
Dholuo,Swahili,Bende oparo mar yudo lesen mondo okaw gache kendo ne ooro ojana moro mondo okelne kilo mar sukari mar min ode mane koro rite dala. ,"Pia akakumbuka kuwa anahitaji kutafuta leseni ili alipate gari lake,  kisha akamtuma kijana mmoja kumletea kilo ya sukari ya Bi,  Nkatha ambaye sasa anamsubiri nyumbani. "
Dholuo,Swahili,Chandruok maduong ' ma piny masani nigo en kethruok malich.,Tatizo kubwa ya nchi na hiyo ndiyo uharibifu kubwa sana.
Dholuo,Swahili,Monde ne beye,Bibi wake ni wazuri
Dholuo,Swahili,"Yueyo gik moko e yo maok ochuno, medo mana miyo ji mang'eny ma donjo e timno olal ngimagi.",Kutupa takataka ovyo ovyo unakuza ungojwa huu ambao hufanya baadhi ya watu wanaogonjeka kupoteza maisha yao.
Dholuo,Swahili,"Kaluwore gi oboke mar Daily Nation mar tarik piero adek, dwe mar angwen mar higa ni.",Kulingana na gazeti la Daily Nation la tarehe thelathini mwezi wa Machi mwaka huu.
Dholuo,Swahili,"Kijasiri nokwedo chik moro mane jotelo loso kendo isiro gi ji kaka Kifuja, nowuoyo kuom kaka oganda odak. ","Kijasiri alipinga bili ambayo ilikuwa ikiandaliwa na viongozi wao na kudhaminiwa na akina Kifuja,  iliyohusu mfumo wa jamii. "
Dholuo,Swahili,Gimedo kagiwacho ni en paro maber mar miyo jotije sirikal kaka lakteche gi jopuonje chanjo mokuongo nikech gin emagin e okang mamalo mar gamo kute go.,Waliongezea kwa kusema kuwa hilo ni wazo nzuri la kuwachanja wafanyikazi wa serikali kama vile madaktari na walimu nafasi ya kwanza ya kupata chanjo kwani wao ndio wanaweza kuambukizwa kirahisi.
Dholuo,Swahili,Moko kuom kembe ma ne ogol oko ne gin kaka Mombasa Raha kod Modern Coast.,Mfano wa makampuni yaliyofungwa ni Mombasa Raha na Modern Coast.
Dholuo,Swahili,Ne ok wayie kawo mwandu mag pinje moko kaka China. ,Hatukuweza kuagiza bidhaa nchi za nje kama China. 
Dholuo,Swahili,Wagoyo mbaka,Tunapiga hadithi
Dholuo,Swahili,Gweno achiel iuso siling alufu ariyo mia bich,Kuku moja inauzwa shilingi elfu mbili mia tano
Dholuo,Swahili,Osiptalni ni gi jothieth mang'eny,Hii hospitali ina madaktari wengi
Dholuo,Swahili,Koth ogoyo yiende tee,Mvua imenyeshea kuni zote 
